Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,3,121,3,Some Random Commen with Id 0
1,0,3,197,2,Some Random Commen with Id 1
2,0,3,173,4,Some Random Commen with Id 2
3,0,3,160,0,Some Random Commen with Id 3
4,2,5,136,1,Some Random Commen with Id 4
5,2,5,46,3,Some Random Commen with Id 5
6,2,5,67,8,Some Random Commen with Id 6
7,2,5,41,5,Some Random Commen with Id 7
8,3,2,104,8,Some Random Commen with Id 8
9,3,2,121,5,Some Random Commen with Id 9
10,3,2,35,5,Some Random Commen with Id 10
11,3,2,1,7,Some Random Commen with Id 11
12,3,2,9,3,Some Random Commen with Id 12
13,3,2,164,4,Some Random Commen with Id 13
14,3,2,134,9,Some Random Commen with Id 14
15,5,0,139,4,Some Random Commen with Id 15
16,5,0,144,3,Some Random Commen with Id 16
17,5,0,100,7,Some Random Commen with Id 17
18,5,0,158,4,Some Random Commen with Id 18
19,5,0,142,9,Some Random Commen with Id 19
20,7,2,0,4,Some Random Commen with Id 20
21,7,2,178,6,Some Random Commen with Id 21
22,7,2,56,8,Some Random Commen with Id 22
23,7,2,8,9,Some Random Commen with Id 23
24,7,2,7,2,Some Random Commen with Id 24
25,8,6,51,9,Some Random Commen with Id 25
26,8,6,45,1,Some Random Commen with Id 26
27,8,6,41,7,Some Random Commen with Id 27
28,8,6,110,7,Some Random Commen with Id 28
29,8,6,24,6,Some Random Commen with Id 29
30,9,0,35,2,Some Random Commen with Id 30
31,9,0,119,8,Some Random Commen with Id 31
32,9,0,60,1,Some Random Commen with Id 32
33,9,0,3,1,Some Random Commen with Id 33
34,9,0,102,6,Some Random Commen with Id 34
35,10,2,60,2,Some Random Commen with Id 35
36,10,2,74,8,Some Random Commen with Id 36
37,10,2,29,3,Some Random Commen with Id 37
38,10,2,54,2,Some Random Commen with Id 38
39,10,2,56,8,Some Random Commen with Id 39
40,10,2,36,5,Some Random Commen with Id 40
41,10,2,60,2,Some Random Commen with Id 41
42,10,2,145,9,Some Random Commen with Id 42
43,10,2,168,3,Some Random Commen with Id 43
44,11,2,162,5,Some Random Commen with Id 44
45,11,2,0,2,Some Random Commen with Id 45
46,11,2,179,6,Some Random Commen with Id 46
47,11,2,177,3,Some Random Commen with Id 47
48,11,2,95,5,Some Random Commen with Id 48
49,11,2,168,2,Some Random Commen with Id 49
50,12,0,195,0,Some Random Commen with Id 50
51,12,0,78,1,Some Random Commen with Id 51
52,12,0,86,0,Some Random Commen with Id 52
53,12,0,17,8,Some Random Commen with Id 53
54,12,0,59,2,Some Random Commen with Id 54
55,12,0,92,5,Some Random Commen with Id 55
56,12,0,7,1,Some Random Commen with Id 56
57,12,0,166,1,Some Random Commen with Id 57
58,12,0,161,2,Some Random Commen with Id 58
59,13,6,143,5,Some Random Commen with Id 59
60,13,6,48,4,Some Random Commen with Id 60
61,13,6,153,4,Some Random Commen with Id 61
62,13,6,190,7,Some Random Commen with Id 62
63,13,6,166,6,Some Random Commen with Id 63
64,13,6,176,2,Some Random Commen with Id 64
65,14,1,183,3,Some Random Commen with Id 65
66,14,1,60,7,Some Random Commen with Id 66
67,14,1,27,3,Some Random Commen with Id 67
68,14,1,4,2,Some Random Commen with Id 68
69,15,4,150,5,Some Random Commen with Id 69
70,15,4,61,1,Some Random Commen with Id 70
71,15,4,110,6,Some Random Commen with Id 71
72,15,4,68,9,Some Random Commen with Id 72
73,15,4,54,9,Some Random Commen with Id 73
74,15,4,174,1,Some Random Commen with Id 74
75,16,0,0,4,Some Random Commen with Id 75
76,16,0,182,7,Some Random Commen with Id 76
77,16,0,161,6,Some Random Commen with Id 77
78,17,4,171,3,Some Random Commen with Id 78
79,17,4,21,9,Some Random Commen with Id 79
80,17,4,120,8,Some Random Commen with Id 80
81,18,5,121,2,Some Random Commen with Id 81
82,18,5,80,9,Some Random Commen with Id 82
83,18,5,177,1,Some Random Commen with Id 83
84,18,5,140,7,Some Random Commen with Id 84
85,18,5,16,8,Some Random Commen with Id 85
86,19,5,147,2,Some Random Commen with Id 86
87,19,5,196,8,Some Random Commen with Id 87
88,19,5,33,1,Some Random Commen with Id 88
89,19,5,36,5,Some Random Commen with Id 89
90,20,7,9,7,Some Random Commen with Id 90
91,20,7,15,1,Some Random Commen with Id 91
92,20,7,132,3,Some Random Commen with Id 92
93,20,7,45,9,Some Random Commen with Id 93
94,20,7,169,5,Some Random Commen with Id 94
95,20,7,14,5,Some Random Commen with Id 95
96,20,7,10,7,Some Random Commen with Id 96
97,20,7,62,0,Some Random Commen with Id 97
98,21,0,45,5,Some Random Commen with Id 98
99,21,0,30,9,Some Random Commen with Id 99
100,21,0,170,6,Some Random Commen with Id 100
101,21,0,191,6,Some Random Commen with Id 101
102,22,2,131,7,Some Random Commen with Id 102
103,22,2,4,3,Some Random Commen with Id 103
104,22,2,154,7,Some Random Commen with Id 104
105,22,2,86,3,Some Random Commen with Id 105
106,22,2,183,3,Some Random Commen with Id 106
107,22,2,38,1,Some Random Commen with Id 107
108,22,2,181,4,Some Random Commen with Id 108
109,23,4,48,6,Some Random Commen with Id 109
110,23,4,135,5,Some Random Commen with Id 110
111,23,4,47,8,Some Random Commen with Id 111
112,23,4,151,2,Some Random Commen with Id 112
113,23,4,183,8,Some Random Commen with Id 113
114,23,4,167,7,Some Random Commen with Id 114
115,24,8,157,6,Some Random Commen with Id 115
116,24,8,72,1,Some Random Commen with Id 116
117,24,8,197,2,Some Random Commen with Id 117
118,24,8,38,6,Some Random Commen with Id 118
119,24,8,109,9,Some Random Commen with Id 119
120,24,8,192,9,Some Random Commen with Id 120
121,25,2,36,1,Some Random Commen with Id 121
